0   0.404056   0.317244   0.2787  0.0727667 0.284933 0.236667  
1   0.482556   0.278944   0.2385  0.053073 0.315039 0.221186  
2   0.562344   0.223378   0.214278  0.0406401 0.356343 0.183788  
3   0.634167   0.163689   0.202144  0.0348146 0.409172 0.147991  
4   0.688122   0.113244   0.198633  0.0311345 0.450244 0.115044  
5   0.7243   0.0730222   0.202678  0.0286448 0.493524 0.0788723  
6   0.740133   0.0460333   0.213833  0.0298679 0.513086 0.0516967  
7   0.741589   0.0286778   0.229733  0.0313307 0.535361 0.0340868  
8   0.7305   0.0187889   0.250711  0.0346703 0.50988 0.0206036  
9   0.711378   0.0131889   0.275433  0.0392729 0.509166 0.0158217  
10   0.688333   0.00915556   0.302511  0.042734 0.557709 0.0120618  
11   0.658956   0.00732222   0.333722  0.0491525 0.48665 0.00866818  
12   0.625856   0.00571111   0.368433  0.0557616 0.497724 0.00609289  
13   0.588289   0.00528889   0.406422  0.0640368 0.439689 0.00566965  
14   0.5482   0.00486667   0.446933  0.0722056 0.451681 0.00483897  
15   0.505067   0.00508889   0.489844  0.0822692 0.40411 0.00489757  
16   0.459156   0.00525556   0.535589  0.095125 0.419214 0.00469537  
17   0.409189   0.00621111   0.5846  0.112283 0.302326 0.00475074  
18   0.3591   0.00808889   0.632811  0.126972 0.300537 0.00640514  
19   0.308967   0.0101667   0.680867  0.146168 0.291209 0.00700578  
20   0.259411   0.0132   0.727389  0.168591 0.24918 0.00817585  
21   0.211456   0.0173889   0.771156  0.195957 0.218013 0.00971511  
22   0.167067   0.0232   0.809733  0.227051 0.208307 0.0122327  
23   0.128644   0.0326111   0.838744  0.253924 0.172414 0.0165624  
24   0.0980778   0.0461556   0.855767  0.275868 0.150937 0.022017  
25   0.0759222   0.0648   0.859278  0.292172 0.140828 0.0293824  
26   0.0637333   0.0870556   0.849211  0.275135 0.134259 0.0360251  
27   0.0588111   0.113033   0.828156  0.252092 0.128015 0.0437138  
28   0.0607333   0.1439   0.795367  0.184017 0.112749 0.0526605  
29   0.0695444   0.176989   0.753467  0.137212 0.119141 0.0631575  
30   0.0853778   0.208122   0.7065  0.0961815 0.127252 0.0712116  
31   0.106278   0.239211   0.654511  0.05557 0.123218 0.080302  
32   0.1325   0.265933   0.601567  0.0456874 0.129918 0.0883102  
33   0.163856   0.290633   0.545511  0.0306918 0.1332 0.0999427  
34   0.198933   0.308511   0.492556  0.025022 0.134801 0.104591  
35   0.237167   0.322511   0.440322  0.0187668 0.13603 0.113625  
36   0.279044   0.331378   0.389578  0.0154603 0.141218 0.123571  
37   0.323456   0.333422   0.343122  0.0136577 0.14552 0.129029  
38   0.369333   0.332522   0.298144  0.0117138 0.14896 0.142126  
39   0.414411   0.326289   0.2593  0.0121239 0.149029 0.145306  
40   0.459544   0.318222   0.222233  0.0109392 0.152217 0.160432  
41   0.503044   0.307467   0.189489  0.0105418 0.15192 0.169142  
42   0.546644   0.290322   0.163033  0.010823 0.159511 0.168348  
43   0.587567   0.270456   0.141978  0.0109761 0.161621 0.165951  
44   0.628244   0.243733   0.128022  0.0110248 0.174356 0.143919  
45   0.664744   0.216656   0.1186  0.0114605 0.179294 0.129839  
46   0.700544   0.185789   0.113667  0.0112491 0.199754 0.104647  
47   0.731211   0.156922   0.111867  0.0126251 0.212667 0.0936461  
48   0.756244   0.130644   0.113111  0.0130681 0.220421 0.0742948  
49   0.777089   0.106256   0.116656  0.0130763 0.235244 0.0560904  
50   0.791944   0.0856111   0.122444  0.0135978 0.239255 0.0409563  
51   0.800778   0.0681889   0.131033  0.0157138 0.24854 0.0314882  
52   0.803067   0.0540333   0.1429  0.0182045 0.247352 0.0206902  
53   0.801767   0.0423   0.155933  0.0186784 0.253547 0.0137625  
54   0.796956   0.0327333   0.170311  0.0197758 0.261098 0.00947698  
55   0.788822   0.0246222   0.186556  0.0215682 0.276646 0.00554541  
56   0.777011   0.0184778   0.204511  0.0236358 0.277527 0.00369267  
57   0.763878   0.0140778   0.222044  0.0238092 0.290439 0.00472672  
58   0.748267   0.0105   0.241233  0.0264586 0.326756 0.00460368  
59   0.7304   0.00846667   0.261133  0.0281837 0.306878 0.00492838  
60   0.710022   0.00723333   0.282744  0.0310484 0.271654 0.00408476  
61   0.688911   0.00637778   0.304711  0.0328628 0.30722 0.00483358  
