# Table 
0 0.333331 0.333327 0.333342 0.122979 0.122979 0.122975 5.292e-05 6.29816e-05 6.21343e-05 8.67254e-05 8.82142e-05 8.84525e-05
0.625 0.360373 0.288744 0.350883 0.096997 0.121053 0.0996058 7.80726e-05 7.22601e-05 7.50652e-05 0.000131685 0.000160134 0.000126151
1.25 0.383941 0.253471 0.362588 0.0797264 0.12075 0.0843955 0.000123245 6.77846e-05 0.00011349 0.000137476 0.000186435 0.000126281
1.875 0.403673 0.225623 0.370704 0.0680878 0.121811 0.0741198 0.0001213 7.78698e-05 0.000121615 0.000109472 0.000181621 0.000111895
2.5 0.420139 0.203204 0.376657 0.0597956 0.123614 0.0666656 0.000164443 8.59431e-05 0.000144763 0.00011037 0.000199998 0.000108374
3.125 0.433806 0.184893 0.3813 0.0536236 0.125803 0.0609743 0.000182178 8.4304e-05 0.000187831 0.000118906 0.000237555 0.000114908
3.75 0.445205 0.169646 0.385149 0.04883 0.128142 0.0564123 0.000215575 8.96885e-05 0.000218861 0.000113441 0.000255263 0.000106315
4.375 0.454774 0.1567 0.388526 0.0449615 0.130479 0.0525928 0.000213939 8.70321e-05 0.000209437 0.000107114 0.000278334 0.000102854
5 0.462851 0.145625 0.391524 0.0417605 0.132726 0.0493326 0.000246348 8.55646e-05 0.000245024 0.000100081 0.000257628 8.84057e-05
5.625 0.469623 0.136029 0.394348 0.0390851 0.134941 0.046511 0.000269876 8.21354e-05 0.000264048 9.69481e-05 0.00027827 8.20934e-05
6.25 0.475411 0.127619 0.39697 0.0367811 0.137038 0.0440146 0.00027571 7.91802e-05 0.000277476 9.66378e-05 0.000298688 8.17961e-05
6.875 0.480253 0.120183 0.399564 0.0347861 0.139024 0.0417765 0.000269401 7.79934e-05 0.000270595 8.05614e-05 0.000274649 7.59773e-05
7.5 0.48449 0.113582 0.401927 0.0330217 0.140884 0.0397688 0.000317716 7.27949e-05 0.000321125 8.71329e-05 0.000306105 7.4675e-05
